,ticker,value
201,KSS,Multiline Retail
202,CZR,"Hotels, Restaurants & Leisure"
203,MUX,Metals & Mining
204,TRIP,Interactive Media & Services
205,TIGR,Capital Markets
206,UWMC,Thrifts & Mortgage Finance
207,CRSR,"Technology Hardware, Storage &"
208,PEP,Beverages
209,CTRA,"Oil, Gas & Consumable Fuels"
210,PAGS,IT Services
211,EBAY,Internet & Direct Marketing Re
212,NLY,Mortgage Real Estate Investmen
213,PSFE,IT Services
214,BTBT,Software
215,MRVL,Semiconductors & Semiconductor
216,ON,Semiconductors & Semiconductor
217,UPS,Air Freight & Logistics
218,FSLR,Semiconductors & Semiconductor
219,NRZ,Mortgage Real Estate Investmen
220,CLF,Metals & Mining
221,JPM,Banks
222,LCID,Automobiles
223,PYPL,IT Services
224,NCLH,"Hotels, Restaurants & Leisure"
225,DAL,Airlines
226,DKNG,"Hotels, Restaurants & Leisure"
227,WISH,Internet & Direct Marketing Re
228,VZ,Diversified Telecommunication
229,PLUG,Electrical Equipment
230,AXP,Consumer Finance
231,DNA,Biotechnology
232,RUN,Electrical Equipment
233,CSX,Road & Rail
234,VST,Independent Power and Renewabl
235,ZS,Software
236,HIMX,Semiconductors & Semiconductor
237,LOW,Specialty Retail
238,KR,Food & Staples Retailing
239,MLCO,"Hotels, Restaurants & Leisure"
240,ENPH,Semiconductors & Semiconductor
241,SNOW,IT Services
242,FISV,IT Services
243,USB,Banks
244,TWLO,IT Services
245,GGPI,
246,ADBE,Software
247,MCD,"Hotels, Restaurants & Leisure"
248,U,Software
249,MTCH,Interactive Media & Services
250,DBX,Software
251,UNIT,Equity Real Estate Investment
252,WMB,"Oil, Gas & Consumable Fuels"
253,GREE,Software
254,TCOM,"Hotels, Restaurants & Leisure"
255,ATOS,Biotechnology
256,AIG,Insurance
257,JWN,Multiline Retail
258,NYMT,Mortgage Real Estate Investmen
259,CRTX,Biotechnology
260,LYV,Entertainment
261,AMRS,Chemicals
262,BCRX,Biotechnology
263,BSX,Health Care Equipment & Suppli
264,DBRG,Equity Real Estate Investment
265,PAA,"Oil, Gas & Consumable Fuels"
266,DDOG,Software
267,SPWR,Semiconductors & Semiconductor
268,DELL,"Technology Hardware, Storage &"
269,UPST,Consumer Finance
270,CLOV,Health Care Providers & Servic
271,GME,Specialty Retail
272,DISCA,Media
273,BIDU,Interactive Media & Services
274,QS,Auto Components
275,HOOD,Capital Markets
276,CRM,Software
277,RIOT,Software
278,PCG,Electric Utilities
279,GSAT,Diversified Telecommunication
280,AAPL,"Technology Hardware, Storage &"
281,TSLA,Automobiles
282,F,Automobiles
283,BABA,Internet & Direct Marketing Re
284,BAC,Banks
285,T,Diversified Telecommunication
286,AMD,Semiconductors & Semiconductor
287,PLTR,Software
288,AAL,Airlines
289,NIO,Automobiles
290,MDT,Health Care Equipment & Suppli
291,VMW,Software
292,MNDT,Software
293,APA,"Oil, Gas & Consumable Fuels"
294,CEI,"Oil, Gas & Consumable Fuels"
295,GOGO,Wireless Telecommunication Ser
296,FTCH,Internet & Direct Marketing Re
297,SWN,"Oil, Gas & Consumable Fuels"
298,BNTX,Biotechnology
299,RLX,Tobacco
300,IRNT,Software
301,BNGO,Life Sciences Tools & Services
302,PENN,"Hotels, Restaurants & Leisure"
303,NUE,Metals & Mining
304,TXN,Semiconductors & Semiconductor
305,BX,Capital Markets
306,ZIM,Marine
307,GOTU,Diversified Consumer Services
308,HL,Metals & Mining
309,RTX,Aerospace & Defense
310,HLT,"Hotels, Restaurants & Leisure"
311,DDD,"Technology Hardware, Storage &"
312,ELY,Leisure Products
313,MMAT,Semiconductors & Semiconductor
314,CNK,Entertainment
315,CMPS,Biotechnology
316,OKTA,IT Services
317,GT,Auto Components
318,KPLT,Consumer Finance
319,SONO,Household Durables
320,CNC,Health Care Providers & Servic
321,AI,Software
322,MVST,Machinery
323,APO,Capital Markets
324,RMO,Electrical Equipment
325,ATER,Household Durables
326,MAC,Equity Real Estate Investment
327,NUAN,Software
328,WDAY,Software
329,LMND,Insurance
330,EBON,"Technology Hardware, Storage &"
331,ALLY,Consumer Finance
332,LMT,Aerospace & Defense
333,NVTA,Biotechnology
334,ME,Life Sciences Tools & Services
335,SESN,Biotechnology
336,BE,Electrical Equipment
337,RKLB,Aerospace & Defense
338,SEAH,
339,MMM,Industrial Conglomerates
340,CDEV,"Oil, Gas & Consumable Fuels"
341,MDLZ,Food Products
342,ASO,Specialty Retail
343,KDMN,Biotechnology
344,PRTY,Specialty Retail
345,ASTS,Diversified Telecommunication
346,MTTR,Software
347,QD,Consumer Finance
348,SPOT,Entertainment
349,GEVO,"Oil, Gas & Consumable Fuels"
350,RRC,"Oil, Gas & Consumable Fuels"
351,EA,Entertainment
352,STX,"Technology Hardware, Storage &"
353,CSTM,Metals & Mining
354,BKR,Energy Equipment & Services
355,AEO,Specialty Retail
356,ASTR,Aerospace & Defense
357,KBH,Household Durables
358,MAR,"Hotels, Restaurants & Leisure"
359,TMC,Metals & Mining
360,NTES,Entertainment
361,BIIB,Biotechnology
362,ENDP,Pharmaceuticals
363,GLW,"Electronic Equipment, Instrume"
364,COF,Consumer Finance
365,COUP,Software
366,MNKD,Biotechnology
367,DASH,Internet & Direct Marketing Re
368,PSTG,"Technology Hardware, Storage &"
369,FINV,Consumer Finance
370,GPRO,Household Durables
371,INSG,Communications Equipment
372,VRM,Specialty Retail
373,QRTEA,Internet & Direct Marketing Re
374,VLDR,"Electronic Equipment, Instrume"
375,DHR,Life Sciences Tools & Services
376,NXTD,Software
377,WEN,"Hotels, Restaurants & Leisure"
378,LEN,Household Durables
379,BLMN,"Hotels, Restaurants & Leisure"
380,XP,Capital Markets
381,FTCV,
382,TGTX,Biotechnology
383,WTRH,Internet & Direct Marketing Re
384,CPRI,"Textiles, Apparel & Luxury Goo"
385,CAH,Health Care Providers & Servic
386,EVGO,Specialty Retail
387,MARK,Internet & Direct Marketing Re
388,YY,Interactive Media & Services
389,AFL,Insurance
390,HUYA,Entertainment
391,GNW,Insurance
392,CLSK,Software
393,PNC,Banks
394,HPE,"Technology Hardware, Storage &"
395,LEV,Machinery
396,PATH,Software
397,YNDX,Interactive Media & Services
398,SKT,Equity Real Estate Investment
399,TTWO,Entertainment
400,NTNX,Software
401,APPH,Food Products
402,ZEN,Software
403,AMWL,Health Care Technology
404,MP,Metals & Mining
405,STNG,"Oil, Gas & Consumable Fuels"
406,MSTR,Software
407,EXC,Electric Utilities
408,DKS,Specialty Retail
409,TRIT,Software
410,PBF,"Oil, Gas & Consumable Fuels"
411,RF,Banks
412,WY,Equity Real Estate Investment
413,MNTS,Aerospace & Defense
414,ACN,IT Services
415,CXW,Commercial Services & Supplies
416,MILE,Insurance
417,CPB,Food Products
418,DE,Machinery
419,EGHT,Software
420,DD,Chemicals
421,SSYS,"Technology Hardware, Storage &"
422,CPE,"Oil, Gas & Consumable Fuels"
423,ZEV,Machinery
424,SYF,Consumer Finance
425,SPR,Aerospace & Defense
426,PLAY,"Hotels, Restaurants & Leisure"
427,CF,Chemicals
428,XRX,"Technology Hardware, Storage &"
429,ASAN,Software
430,GPRE,"Oil, Gas & Consumable Fuels"
431,ADMP,Pharmaceuticals
432,MGI,IT Services
433,RWT,Mortgage Real Estate Investmen
434,LU,Consumer Finance
435,CLX,Household Products
436,MELI,Internet & Direct Marketing Re
437,LOTZ,Specialty Retail
438,PPL,Electric Utilities
439,MGNI,Media
440,KKR,Capital Markets
441,MAT,Leisure Products
442,ULTA,Specialty Retail
443,SKIN,Personal Products
444,SIX,"Hotels, Restaurants & Leisure"
445,AXSM,Pharmaceuticals
446,ALTO,"Oil, Gas & Consumable Fuels"
447,WW,Diversified Consumer Services
448,MDB,IT Services
449,ATCO,Marine
450,SPIR,Professional Services
451,FE,Electric Utilities
452,CRSP,Biotechnology
453,NOW,Software
454,FL,Specialty Retail
455,GLNG,"Oil, Gas & Consumable Fuels"
456,AMGN,Biotechnology
457,SWKS,Semiconductors & Semiconductor
458,CDE,Metals & Mining
459,IP,Containers & Packaging
460,OTLY,Food Products
461,XSPA,Diversified Consumer Services
462,BBWI,Specialty Retail
463,DWAC,
464,LRCX,Semiconductors & Semiconductor
465,XL,Auto Components
466,PXD,"Oil, Gas & Consumable Fuels"
467,RBAC,
468,LC,Consumer Finance
469,SOLO,Automobiles
470,SNAP,Interactive Media & Services
471,AMC,Entertainment
472,SNDL,Pharmaceuticals
473,GM,Automobiles
474,MU,Semiconductors & Semiconductor
475,FCX,Metals & Mining
476,XOM,"Oil, Gas & Consumable Fuels"
477,BA,Aerospace & Defense
478,DIS,Entertainment
479,VIAC,Media
480,GCI,Media
481,NXPI,Semiconductors & Semiconductor
482,GWH,Electrical Equipment
483,GPN,IT Services
484,OMER,Pharmaceuticals
485,SO,Electric Utilities
486,WU,IT Services
487,NCR,Software
488,IONQ,
489,JOBY,Airlines
490,WE,
491,GRPN,Internet & Direct Marketing Re
492,MFA,Mortgage Real Estate Investmen
493,APPS,Software
494,UEC,"Oil, Gas & Consumable Fuels"
495,DHI,Household Durables
496,KEY,Banks
497,DLTR,Multiline Retail
498,NAT,"Oil, Gas & Consumable Fuels"
499,MOMO,Interactive Media & Services
500,PFSI,Thrifts & Mortgage Finance
501,SFT,Specialty Retail
502,CTLP,IT Services
503,PLBY,"Textiles, Apparel & Luxury Goo"
