date,SPY
2020-10-08,339.0044
2020-10-09,342.0318
2020-10-12,347.5342
2020-10-13,345.2662
2020-10-14,343.0968
2020-10-15,342.6727
2020-10-16,342.4656
2020-10-19,337.259
2020-10-20,338.61
2020-10-21,337.969
2020-10-22,339.8229
2020-10-23,340.9766
2020-10-26,334.6754
2020-10-27,333.5216
2020-10-28,322.1222
2020-10-29,325.3961
2020-10-30,322.0039
2020-11-02,325.6131
2020-11-03,331.3621
2020-11-04,338.7677
2020-11-05,345.3747
2020-11-06,345.2958
2020-11-09,349.6347
2020-11-10,349.1219
2020-11-11,351.7153
2020-11-12,348.3034
2020-11-13,353.1255
2020-11-16,357.5334
2020-11-17,355.6105
2020-11-18,351.3308
2020-11-19,352.8099
2020-11-20,350.394
2020-11-23,352.4944
2020-11-24,358.1744
2020-11-25,357.6221
2020-11-27,358.6181
2020-11-30,357.0305
2020-12-01,360.9355
2020-12-02,361.6948
2020-12-03,361.5962
2020-12-04,364.7123
2020-12-07,363.9628
2020-12-08,365.0278
2020-12-09,361.7539
2020-12-10,361.6356
2020-12-11,361.2116
2020-12-14,359.5944
2020-12-15,364.4559
2020-12-16,365.0278
2020-12-17,367.0691
2020-12-18,365.6036
2020-12-21,364.2963
2020-12-22,363.6823
2020-12-23,364.0091
2020-12-24,365.4253
2020-12-28,368.5646
2020-12-29,367.8615
2020-12-30,368.3863
2020-12-31,370.258
2021-01-04,365.2173
2021-01-05,367.7327
2021-01-06,369.9312
2021-01-07,375.4275
2021-01-08,377.5665
2021-01-11,375.0214
2021-01-12,375.1006
2021-01-13,376.1108
2021-01-14,374.7937
2021-01-15,372.0604
2021-01-19,374.9818
2021-01-20,380.171
2021-01-21,380.5177
2021-01-22,379.1708
2021-01-25,380.6662
2021-01-26,380.072
2021-01-27,370.7829
2021-01-28,373.9717
2021-01-29,366.4849
2021-02-01,372.5853
2021-02-02,377.8537
2021-02-03,378.1508
2021-02-04,382.4488
2021-02-05,383.954
2021-02-08,386.7269
