,t,f,v
103,PSFE US EQUITY,GICS SECTOR NAME,Information Technology
104,BTBT US EQUITY,GICS SECTOR NAME,Information Technology
105,MRVL US EQUITY,GICS SECTOR NAME,Information Technology
106,ON US EQUITY,GICS SECTOR NAME,Information Technology
107,UPS US EQUITY,GICS SECTOR NAME,Industrials
108,FSLR US EQUITY,GICS SECTOR NAME,Information Technology
109,NRZ US EQUITY,GICS SECTOR NAME,Financials
110,IRNT US EQUITY,GICS SECTOR NAME,Information Technology
111,BNGO US EQUITY,GICS SECTOR NAME,Health Care
112,PENN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
113,NUE US EQUITY,GICS SECTOR NAME,Materials
114,TXN US EQUITY,GICS SECTOR NAME,Information Technology
115,BX US EQUITY,GICS SECTOR NAME,Financials
116,ZIM US EQUITY,GICS SECTOR NAME,Industrials
117,GOTU US EQUITY,GICS SECTOR NAME,Consumer Discretionary
118,HL US EQUITY,GICS SECTOR NAME,Materials
119,RTX US EQUITY,GICS SECTOR NAME,Industrials
120,CVX US EQUITY,GICS SECTOR NAME,Energy
121,CVS US EQUITY,GICS SECTOR NAME,Health Care
122,NFLX US EQUITY,GICS SECTOR NAME,Communication Services
123,TME US EQUITY,GICS SECTOR NAME,Communication Services
124,MRNA US EQUITY,GICS SECTOR NAME,Health Care
125,SKLZ US EQUITY,GICS SECTOR NAME,Communication Services
126,IQ US EQUITY,GICS SECTOR NAME,Communication Services
127,ATVI US EQUITY,GICS SECTOR NAME,Communication Services
128,SBUX US EQUITY,GICS SECTOR NAME,Consumer Discretionary
129,WKHS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
130,TWTR US EQUITY,GICS SECTOR NAME,Communication Services
131,X US EQUITY,GICS SECTOR NAME,Materials
132,CMCSA US EQUITY,GICS SECTOR NAME,Communication Services
133,CSCO US EQUITY,GICS SECTOR NAME,Information Technology
134,PINS US EQUITY,GICS SECTOR NAME,Communication Services
135,TLRY US EQUITY,GICS SECTOR NAME,Health Care
136,UAL US EQUITY,GICS SECTOR NAME,Industrials
137,ET US EQUITY,GICS SECTOR NAME,Energy
138,EDU US EQUITY,GICS SECTOR NAME,Consumer Discretionary
139,MRK US EQUITY,GICS SECTOR NAME,Health Care
140,AXP US EQUITY,GICS SECTOR NAME,Financials
141,DNA US EQUITY,GICS SECTOR NAME,Health Care
142,RUN US EQUITY,GICS SECTOR NAME,Industrials
143,CSX US EQUITY,GICS SECTOR NAME,Industrials
144,VST US EQUITY,GICS SECTOR NAME,Utilities
145,ZS US EQUITY,GICS SECTOR NAME,Information Technology
146,HIMX US EQUITY,GICS SECTOR NAME,Information Technology
147,LOW US EQUITY,GICS SECTOR NAME,Consumer Discretionary
148,KR US EQUITY,GICS SECTOR NAME,Consumer Staples
149,MLCO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
150,NEE US EQUITY,GICS SECTOR NAME,Utilities
151,AR US EQUITY,GICS SECTOR NAME,Energy
152,CPNG US EQUITY,GICS SECTOR NAME,Consumer Discretionary
153,MO US EQUITY,GICS SECTOR NAME,Consumer Staples
154,XPEV US EQUITY,GICS SECTOR NAME,Consumer Discretionary
155,COIN US EQUITY,GICS SECTOR NAME,Financials
156,IPOF US EQUITY,GICS SECTOR NAME,
157,AMAT US EQUITY,GICS SECTOR NAME,Information Technology
158,MRO US EQUITY,GICS SECTOR NAME,Energy
159,JNJ US EQUITY,GICS SECTOR NAME,Health Care
160,MA US EQUITY,GICS SECTOR NAME,Information Technology
161,JMIA US EQUITY,GICS SECTOR NAME,Consumer Discretionary
162,KMI US EQUITY,GICS SECTOR NAME,Energy
163,FFIE US EQUITY,GICS SECTOR NAME,Consumer Discretionary
164,ANY US EQUITY,GICS SECTOR NAME,Information Technology
165,PG US EQUITY,GICS SECTOR NAME,Consumer Staples
166,AFRM US EQUITY,GICS SECTOR NAME,Information Technology
167,MPC US EQUITY,GICS SECTOR NAME,Energy
168,TELL US EQUITY,GICS SECTOR NAME,Energy
169,WBA US EQUITY,GICS SECTOR NAME,Consumer Staples
170,GILD US EQUITY,GICS SECTOR NAME,Health Care
171,QCOM US EQUITY,GICS SECTOR NAME,Information Technology
172,MS US EQUITY,GICS SECTOR NAME,Financials
173,SPCE US EQUITY,GICS SECTOR NAME,Industrials
174,WMT US EQUITY,GICS SECTOR NAME,Consumer Staples
175,V US EQUITY,GICS SECTOR NAME,Information Technology
176,ZNGA US EQUITY,GICS SECTOR NAME,Communication Services
177,BMY US EQUITY,GICS SECTOR NAME,Health Care
178,KO US EQUITY,GICS SECTOR NAME,Consumer Staples
179,SLB US EQUITY,GICS SECTOR NAME,Energy
180,SPLK US EQUITY,GICS SECTOR NAME,Information Technology
181,LAZR US EQUITY,GICS SECTOR NAME,Consumer Discretionary
182,ABT US EQUITY,GICS SECTOR NAME,Health Care
183,AMRN US EQUITY,GICS SECTOR NAME,Health Care
184,HPQ US EQUITY,GICS SECTOR NAME,Information Technology
185,OPK US EQUITY,GICS SECTOR NAME,Health Care
186,SCHW US EQUITY,GICS SECTOR NAME,Financials
187,FANG US EQUITY,GICS SECTOR NAME,Energy
188,W US EQUITY,GICS SECTOR NAME,Consumer Discretionary
189,BILI US EQUITY,GICS SECTOR NAME,Communication Services
190,NEM US EQUITY,GICS SECTOR NAME,Materials
191,VTRS US EQUITY,GICS SECTOR NAME,Health Care
192,BKKT US EQUITY,GICS SECTOR NAME,
193,VIPS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
194,COP US EQUITY,GICS SECTOR NAME,Energy
195,ROKU US EQUITY,GICS SECTOR NAME,Communication Services
196,HAL US EQUITY,GICS SECTOR NAME,Energy
197,EQT US EQUITY,GICS SECTOR NAME,Energy
198,RKT US EQUITY,GICS SECTOR NAME,Financials
199,LUMN US EQUITY,GICS SECTOR NAME,Communication Services
200,CHPT US EQUITY,GICS SECTOR NAME,Industrials
201,OCGN US EQUITY,GICS SECTOR NAME,Health Care
202,FDX US EQUITY,GICS SECTOR NAME,Industrials
203,BBBY US EQUITY,GICS SECTOR NAME,Consumer Discretionary
204,WDC US EQUITY,GICS SECTOR NAME,Information Technology
205,SRNE US EQUITY,GICS SECTOR NAME,Health Care
206,SIRI US EQUITY,GICS SECTOR NAME,Communication Services
207,SABR US EQUITY,GICS SECTOR NAME,Information Technology
208,ATUS US EQUITY,GICS SECTOR NAME,Communication Services
209,FSLY US EQUITY,GICS SECTOR NAME,Information Technology
210,LUV US EQUITY,GICS SECTOR NAME,Industrials
211,RCL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
212,NKLA US EQUITY,GICS SECTOR NAME,Industrials
213,LI US EQUITY,GICS SECTOR NAME,Consumer Discretionary
214,FUBO US EQUITY,GICS SECTOR NAME,Communication Services
215,PSTH US EQUITY,GICS SECTOR NAME,
216,PDD US EQUITY,GICS SECTOR NAME,Consumer Discretionary
217,SENS US EQUITY,GICS SECTOR NAME,Health Care
218,SDC US EQUITY,GICS SECTOR NAME,Health Care
219,FSR US EQUITY,GICS SECTOR NAME,Consumer Discretionary
220,LYV US EQUITY,GICS SECTOR NAME,Communication Services
221,AMRS US EQUITY,GICS SECTOR NAME,Materials
222,BCRX US EQUITY,GICS SECTOR NAME,Health Care
223,BSX US EQUITY,GICS SECTOR NAME,Health Care
224,DBRG US EQUITY,GICS SECTOR NAME,Real Estate
225,PAA US EQUITY,GICS SECTOR NAME,Energy
226,DDOG US EQUITY,GICS SECTOR NAME,Information Technology
227,SPWR US EQUITY,GICS SECTOR NAME,Information Technology
228,DELL US EQUITY,GICS SECTOR NAME,Information Technology
229,UPST US EQUITY,GICS SECTOR NAME,Financials
230,SNAP US EQUITY,GICS SECTOR NAME,Communication Services
231,AMC US EQUITY,GICS SECTOR NAME,Communication Services
232,SNDL US EQUITY,GICS SECTOR NAME,Health Care
233,GM US EQUITY,GICS SECTOR NAME,Consumer Discretionary
234,MU US EQUITY,GICS SECTOR NAME,Information Technology
235,FCX US EQUITY,GICS SECTOR NAME,Materials
236,XOM US EQUITY,GICS SECTOR NAME,Energy
237,BA US EQUITY,GICS SECTOR NAME,Industrials
238,DIS US EQUITY,GICS SECTOR NAME,Communication Services
