Date,SPY
10/7/2020,336.0264
10/8/2020,339.0044
10/9/2020,342.0318
10/12/2020,347.5342
10/13/2020,345.2662
10/14/2020,343.0968
10/15/2020,342.6727
10/16/2020,342.4656
10/19/2020,337.259
10/20/2020,338.61
10/21/2020,337.969
10/22/2020,339.8229
10/23/2020,340.9766
10/26/2020,334.6754
10/27/2020,333.5216
10/28/2020,322.1222
10/29/2020,325.3961
10/30/2020,322.0039
11/2/2020,325.6131
11/3/2020,331.3621
11/4/2020,338.7677
11/5/2020,345.3747
11/6/2020,345.2958
11/9/2020,349.6347
11/10/2020,349.1219
11/11/2020,351.7153
11/12/2020,348.3034
11/13/2020,353.1255
11/16/2020,357.5334
11/17/2020,355.6105
11/18/2020,351.3308
11/19/2020,352.8099
11/20/2020,350.394
11/23/2020,352.4944
11/24/2020,358.1744
11/25/2020,357.6221
11/27/2020,358.6181
11/30/2020,357.0305
12/1/2020,360.9355
12/2/2020,361.6948
12/3/2020,361.5962
12/4/2020,364.7123
12/7/2020,363.9628
12/8/2020,365.0278
12/9/2020,361.7539
12/10/2020,361.6356
12/11/2020,361.2116
12/14/2020,359.5944
12/15/2020,364.4559
12/16/2020,365.0278
12/17/2020,367.0691
12/18/2020,365.6036
12/21/2020,364.2963
12/22/2020,363.6823
12/23/2020,364.0091
12/24/2020,365.4253
12/28/2020,368.5646
12/29/2020,367.8615
12/30/2020,368.3863
12/31/2020,370.258
1/4/2021,365.2173
1/5/2021,367.7327
1/6/2021,369.9312
1/7/2021,375.4275
1/8/2021,377.5665
1/11/2021,375.0214
1/12/2021,375.1006
1/13/2021,376.1108
1/14/2021,374.7937
1/15/2021,372.0604
1/19/2021,374.9818
1/20/2021,380.171
1/21/2021,380.5177
1/22/2021,379.1708
1/25/2021,380.6662
1/26/2021,380.072
1/27/2021,370.7829
1/28/2021,373.9717
1/29/2021,366.4849
2/1/2021,372.5853
2/2/2021,377.8537
2/3/2021,378.1508
2/4/2021,382.4488
2/5/2021,383.954
2/8/2021,386.7269
2/9/2021,386.4694
2/10/2021,386.3011
2/11/2021,386.925
2/12/2021,388.8363
2/16/2021,388.4996
2/17/2021,388.5887
2/18/2021,386.9349
2/19/2021,386.2516
2/22/2021,383.2806
2/23/2021,383.7461
2/24/2021,387.9747
2/25/2021,378.6262
2/26/2021,376.6752
3/1/2021,385.8059
3/2/2021,382.7954
3/3/2021,377.725
3/4/2021,373.0507
3/5/2021,379.9136
3/8/2021,378.0221
3/9/2021,383.4193
3/10/2021,385.8059
3/11/2021,389.7177
3/12/2021,390.2425
3/15/2021,392.5698
3/16/2021,392.0746
3/17/2021,393.4115
3/18/2021,387.6875
3/19/2021,386.97
3/22/2021,390.0599
3/23/2021,386.9898
3/24/2021,385.0226
3/25/2021,387.1885
3/26/2021,393.4281
3/29/2021,393.2294
3/30/2021,392.1861
3/31/2021,393.7758
4/1/2021,398.0282
4/5/2021,403.7412
4/6/2021,403.5027
4/7/2021,403.9697
4/8/2021,405.8873
4/9/2021,408.8381
4/12/2021,408.9872
4/13/2021,410.1993
4/14/2021,408.7984
4/15/2021,413.1899
4/16/2021,414.5709
4/19/2021,412.5341
4/20/2021,409.5137
4/21/2021,413.3886
4/22/2021,409.6131
4/23/2021,414.0543
4/26/2021,414.9187
4/27/2021,414.8293
4/28/2021,414.71
4/29/2021,417.3529
4/30/2021,414.6107
5/3/2021,415.5049
5/4/2021,412.9415
5/5/2021,413.0707
5/6/2021,416.3693
5/7/2021,419.3996
5/10/2021,415.2466
5/11/2021,411.5406
5/12/2021,402.7973
5/13/2021,407.6359
5/14/2021,413.8953
5/17/2021,412.8421
5/18/2021,409.2852
5/19/2021,408.2122
5/20/2021,412.6037
5/21/2021,412.2659
5/24/2021,416.4686
5/25/2021,415.5446
5/26/2021,416.3693
5/27/2021,416.5879
5/28/2021,417.333
6/1/2021,416.9654
6/2/2021,417.6211
6/3/2021,416.0712
6/4/2021,419.8765
6/7/2021,419.4692
6/8/2021,419.5586
6/9/2021,418.9326
6/10/2021,420.88
6/11/2021,421.5755
6/14/2021,422.5194
6/15/2021,421.7444
6/16/2021,419.3897
6/17/2021,419.2506
6/18/2021,413.5947
6/21/2021,419.5158
6/22/2021,421.7586
6/23/2021,421.2502
6/24/2021,423.7422
6/25/2021,425.2474
6/28/2021,426.1047
6/29/2021,426.3339
6/30/2021,426.6928
7/1/2021,429.0552
7/2/2021,432.3347
7/6/2021,431.5472
7/7/2021,433.0723
7/8/2021,429.5436
7/9/2021,434.1289
7/12/2021,435.684
7/13/2021,434.1987
7/14/2021,434.8466
7/15/2021,433.3614
7/16/2021,429.9623
7/19/2021,423.6126
7/20/2021,429.6832
7/21/2021,433.162
7/22/2021,434.0691
7/23/2021,438.5348
7/26/2021,439.6114
7/27/2021,437.6078
7/28/2021,437.4284
7/29/2021,439.2426
7/30/2021,437.1094
8/2/2021,436.1923
8/3/2021,439.741
8/4/2021,437.5779
8/5/2021,440.349
8/6/2021,441.0767
8/9/2021,440.7178
8/10/2021,441.2661
8/11/2021,442.3626
8/12/2021,443.6883
8/13/2021,444.4957
8/16/2021,445.5424
8/17/2021,442.6217
8/18/2021,437.7773
8/19/2021,438.4551
8/20/2021,441.9439
8/23/2021,445.8315
8/24/2021,446.5392
8/25/2021,447.4762
8/26/2021,444.8346
8/27/2021,448.8119
8/30/2021,450.7856
8/31/2021,450.1177
9/1/2021,450.357
9/2/2021,451.7425
9/3/2021,451.6329
9/7/2021,450.018
9/8/2021,449.4698
9/9/2021,447.546
9/10/2021,444.0173
9/13/2021,445.1536
9/14/2021,442.7513
9/15/2021,446.4495
9/16/2021,445.7417
9/17/2021,441.4
9/20/2021,434.04
9/21/2021,433.63
9/22/2021,437.86
9/23/2021,443.18
9/24/2021,443.91
9/27/2021,442.64
9/28/2021,433.72
9/29/2021,434.45
9/30/2021,429.14
10/1/2021,434.24
10/4/2021,428.64
10/5/2021,433.1
10/6/2021,434.9
10/7/2021,438.66
10/8/2021,437.86
10/11/2021,434.69
10/12/2021,433.62
10/13/2021,435.18
10/14/2021,442.5
10/15/2021,445.87
10/18/2021,447.19
10/19/2021,450.64
10/20/2021,452.41
10/21/2021,453.59
10/22/2021,453.12
10/25/2021,455.55
10/26/2021,455.96
10/27/2021,453.94
10/28/2021,458.32
10/29/2021,459.25
11/1/2021,460.04
11/2/2021,461.9
