,ticker,value
195,SRNE,Biotechnology
196,SIRI,Media
197,SABR,IT Services
198,ATUS,Media
199,FSLY,IT Services
200,LUV,Airlines
201,RCL,"Hotels, Restaurants & Leisure"
202,NKLA,Machinery
203,LI,Automobiles
204,FUBO,Interactive Media & Services
205,PSTH,
206,PDD,Internet & Direct Marketing Re
207,SENS,Health Care Equipment & Suppli
208,SDC,Health Care Equipment & Suppli
209,FSR,Automobiles
210,CVX,"Oil, Gas & Consumable Fuels"
211,CVS,Health Care Providers & Servic
212,NFLX,Entertainment
213,TME,Entertainment
214,MRNA,Biotechnology
215,SKLZ,Entertainment
216,IQ,Entertainment
217,ATVI,Entertainment
218,SBUX,"Hotels, Restaurants & Leisure"
219,WKHS,Automobiles
220,ABNB,"Hotels, Restaurants & Leisure"
221,COTY,Personal Products
222,OPEN,Real Estate Management & Devel
223,DVN,"Oil, Gas & Consumable Fuels"
224,TTD,Software
225,LYFT,Road & Rail
226,AA,Metals & Mining
227,PROG,Health Care Providers & Servic
228,TDOC,Health Care Technology
229,WYNN,"Hotels, Restaurants & Leisure"
230,PTON,Leisure Products
231,IBM,IT Services
232,ABBV,Biotechnology
233,ZM,Software
234,MARA,Software
235,FCEL,Electrical Equipment
236,ORCL,Software
237,M,Multiline Retail
238,BYND,Food Products
239,NKE,"Textiles, Apparel & Luxury Goo"
240,CLF,Metals & Mining
241,JPM,Banks
242,LCID,Automobiles
243,PYPL,IT Services
244,NCLH,"Hotels, Restaurants & Leisure"
245,DAL,Airlines
246,DKNG,"Hotels, Restaurants & Leisure"
247,WISH,Internet & Direct Marketing Re
248,VZ,Diversified Telecommunication
249,PLUG,Electrical Equipment
250,IRNT,Software
251,BNGO,Life Sciences Tools & Services
252,PENN,"Hotels, Restaurants & Leisure"
253,NUE,Metals & Mining
254,TXN,Semiconductors & Semiconductor
255,BX,Capital Markets
256,ZIM,Marine
257,GOTU,Diversified Consumer Services
258,HL,Metals & Mining
259,RTX,Aerospace & Defense
260,PAGS,IT Services
261,EBAY,Internet & Direct Marketing Re
262,NLY,Mortgage Real Estate Investmen
263,PSFE,IT Services
264,BTBT,Software
265,MRVL,Semiconductors & Semiconductor
266,ON,Semiconductors & Semiconductor
267,UPS,Air Freight & Logistics
268,FSLR,Semiconductors & Semiconductor
269,NRZ,Mortgage Real Estate Investmen
270,CLOV,Health Care Providers & Servic
271,GME,Specialty Retail
272,DISCA,Media
273,BIDU,Interactive Media & Services
274,QS,Auto Components
275,HOOD,Capital Markets
276,CRM,Software
277,RIOT,Software
278,PCG,Electric Utilities
279,GSAT,Diversified Telecommunication
280,AXP,Consumer Finance
281,DNA,Biotechnology
282,RUN,Electrical Equipment
283,CSX,Road & Rail
284,VST,Independent Power and Renewabl
285,ZS,Software
286,HIMX,Semiconductors & Semiconductor
287,LOW,Specialty Retail
288,KR,Food & Staples Retailing
289,MLCO,"Hotels, Restaurants & Leisure"
290,GILD,Biotechnology
291,QCOM,Semiconductors & Semiconductor
292,MS,Capital Markets
293,SPCE,Aerospace & Defense
294,WMT,Food & Staples Retailing
295,V,IT Services
296,ZNGA,Entertainment
297,BMY,Pharmaceuticals
298,KO,Beverages
299,SLB,Energy Equipment & Services
300,AAPL,"Technology Hardware, Storage &"
301,TSLA,Automobiles
302,F,Automobiles
303,BABA,Internet & Direct Marketing Re
304,BAC,Banks
